user_id,country,age,session_duration,pages_viewed,click_through_rate,total_orders,avg_order_value,loyalty_score,conversion
U1000,Germany,45,321,16,0.29,1,19.87,2,1
U1001,Brazil,24,235,19,0.3,2,91.21,3,0
U1002,India,49,225,2,0.89,9,110.76,5,1
U1003,Brazil,28,429,12,0.7,11,23.19,6,0
U1004,Brazil,27,113,14,0.57,6,98.73,7,1
U1005,China,26,478,6,0.63,2,50.09,4,0
U1006,India,31,566,13,0.08,6,116.99,7,0
U1007,India,30,400,4,0.61,8,85.55,3,0
U1008,India,42,186,22,0.51,10,28.07,7,0
U1009,Brazil,19,468,18,0.54,9,83.71,4,1
U1010,Germany,52,426,12,0.37,11,65.4,8,1
U1011,India,24,330,20,0.12,14,35.25,9,1
U1012,Brazil,38,438,22,0.22,10,127.81,7,1
U1013,China,35,132,21,0.91,3,11.54,8,1
U1014,Germany,20,307,19,0.42,6,53.7,8,0
U1015,China,59,102,8,0.47,8,11.76,2,0
U1016,Germany,56,436,7,0.1,13,23.44,9,0
U1017,Brazil,58,100,16,0.08,7,51.59,6,0
U1018,US,28,229,19,0.7,7,17.6,4,0
U1019,Germany,56,271,6,0.53,8,93.53,5,0
U1020,China,41,552,20,0.51,13,22.16,5,0
U1021,Brazil,36,98,21,0.27,4,108.24,7,0
U1022,Germany,21,428,11,0.72,13,17.37,9,1
U1023,US,43,210,5,0.2,4,18.3,7,0
U1024,US,55,170,16,0.22,2,52.75,9,0
U1025,India,59,539,7,0.46,4,135.52,4,0
U1026,India,49,495,5,0.31,7,99.8,4,0
U1027,China,56,106,11,0.27,11,117.82,6,0
U1028,Germany,53,425,15,0.63,4,29.82,8,0
U1029,Germany,57,128,3,0.64,3,126.78,9,0
U1030,India,54,358,5,0.79,7,11.14,1,0
U1031,Germany,50,355,23,0.43,6,39.83,1,0
U1032,Germany,53,262,21,0.12,14,96.25,8,1
U1033,US,20,120,5,0.3,13,62.53,7,1
U1034,India,26,373,9,0.93,13,147.79,9,0
U1035,Brazil,25,220,15,0.59,5,14.25,3,0
U1036,India,50,390,3,0.69,4,149.8,5,0
U1037,Brazil,23,587,6,0.06,13,97.31,3,1
U1038,US,58,397,17,0.52,4,88.22,5,0
U1039,China,56,363,21,0.08,12,18.33,1,1
U1040,Germany,21,562,8,0.56,9,48.27,4,1
U1041,US,30,397,21,0.88,1,139.45,6,0
U1042,Germany,19,334,11,0.92,12,59.59,2,0
U1043,China,22,223,6,0.54,14,102.63,7,0
U1044,China,44,502,8,0.46,3,149.93,8,0
U1045,US,49,378,10,0.9,7,46.83,1,0
U1046,China,38,563,24,0.66,7,90.65,4,0
U1047,Brazil,25,446,3,0.11,10,107.5,4,0
U1048,China,55,553,23,0.47,0,33.05,5,0
U1049,Germany,25,549,14,0.27,1,30.81,4,1
U1050,Germany,20,132,23,0.47,4,73.88,9,0
U1051,Germany,20,568,14,0.46,8,64.01,7,1
U1052,Germany,39,449,10,0.57,9,109.99,2,1
U1053,Brazil,23,354,12,0.37,10,19.73,1,1
U1054,India,19,428,6,0.2,11,146.1,9,1
U1055,US,40,246,12,0.5,12,12.0,1,0
U1056,Germany,19,504,23,0.8,10,94.18,6,0
U1057,China,55,422,14,0.65,6,88.77,2,1
U1058,Germany,34,182,2,0.35,9,28.86,4,1
U1059,China,52,247,9,0.89,4,31.13,6,1
U1060,China,51,479,10,0.87,0,120.97,5,1
U1061,Germany,40,311,17,0.24,14,134.26,6,0
U1062,Brazil,47,394,17,0.09,14,49.62,3,0
U1063,China,25,151,3,0.72,5,71.31,5,0
U1064,China,39,589,19,0.79,11,59.7,2,0
U1065,Germany,53,122,1,0.92,7,20.16,7,0
U1066,China,22,571,12,0.85,6,104.25,3,1
U1067,China,30,198,7,0.59,1,125.53,1,1
U1068,Germany,46,244,4,0.53,11,52.68,8,0
U1069,Germany,48,264,10,0.08,4,148.62,8,1
U1070,US,33,273,13,0.27,13,20.62,3,1
U1071,Brazil,59,315,2,0.46,10,102.65,7,1
U1072,Brazil,47,194,10,0.62,3,72.75,9,0
U1073,China,33,147,21,0.55,8,72.52,8,1
U1074,Brazil,29,266,22,0.72,9,74.07,3,1
U1075,China,34,188,4,0.3,0,46.22,2,0
U1076,US,33,62,18,0.56,11,110.18,7,0
U1077,Germany,29,180,5,0.13,5,111.02,7,1
U1078,Germany,25,444,19,0.42,2,49.54,9,0
U1079,Germany,37,97,2,0.73,10,126.94,5,0
U1080,Brazil,20,400,12,0.67,8,54.36,4,0
U1081,US,33,80,17,0.94,4,111.51,8,1
U1082,Brazil,47,301,10,0.3,12,26.94,4,1
U1083,Brazil,40,514,2,0.5,5,33.62,4,0
U1084,US,45,362,6,0.35,10,54.21,2,0
U1085,US,57,128,8,0.45,8,93.14,1,1
U1086,US,22,188,19,0.82,8,100.37,4,1
U1087,US,37,255,11,0.67,7,65.49,7,1
U1088,Germany,57,199,12,0.84,8,20.9,9,0
U1089,India,18,503,9,0.23,3,62.31,9,0
U1090,India,47,342,2,0.84,5,106.43,1,0
U1091,US,38,371,8,0.1,4,103.94,5,1
U1092,India,37,594,11,0.85,4,32.43,7,0
U1093,India,23,336,21,0.35,3,11.09,7,0
U1094,US,39,120,4,0.33,1,115.42,6,0
U1095,India,35,378,10,0.51,11,24.89,4,0
U1096,Brazil,25,111,21,0.9,5,21.53,3,1
U1097,China,56,212,20,0.09,8,10.38,9,0
U1098,China,49,370,16,0.37,11,70.56,4,1
U1099,US,50,448,8,0.82,0,80.46,8,1
U1100,Germany,33,236,4,0.41,13,99.27,1,0
U1101,US,29,421,10,0.23,6,51.45,7,1
U1102,Germany,55,373,12,0.43,5,109.46,6,1
U1103,China,51,156,14,0.4,2,33.71,1,1
U1104,US,31,272,16,0.87,0,126.48,4,0
U1105,Brazil,53,196,22,0.74,12,90.06,5,0
U1106,India,50,65,18,0.5,3,91.74,8,0
U1107,Germany,40,168,21,0.94,14,39.37,4,1
U1108,India,19,98,22,0.47,13,20.38,3,1
U1109,India,58,484,21,0.1,8,75.06,2,1
U1110,US,38,320,12,0.29,14,96.19,4,0
U1111,India,19,485,18,0.44,1,23.31,4,0
U1112,Brazil,44,146,7,0.19,2,143.07,5,1
U1113,India,26,524,20,0.9,1,147.26,7,0
U1114,US,18,135,24,0.74,13,86.36,9,1
U1115,Brazil,28,530,23,0.29,1,143.01,2,0
U1116,China,20,473,7,0.58,9,35.12,5,0
U1117,India,40,516,9,0.7,10,13.56,9,0
U1118,US,43,344,1,0.9,10,15.52,3,0
U1119,China,21,298,6,0.84,7,92.25,1,0
U1120,China,35,431,6,0.51,2,18.63,2,0
U1121,Germany,23,554,22,0.75,6,144.2,6,0
U1122,Brazil,52,104,12,0.56,7,29.87,5,0
U1123,India,39,460,22,0.55,2,52.66,1,0
U1124,US,32,306,12,0.15,1,125.15,1,1
U1125,Germany,39,509,10,0.16,12,40.62,4,0
U1126,Brazil,54,544,23,0.53,12,44.02,4,1
U1127,Germany,59,77,6,0.29,7,99.92,6,1
U1128,Brazil,29,348,17,0.07,2,48.65,6,0
U1129,Brazil,59,473,19,0.7,6,40.44,6,1
U1130,India,55,294,18,0.08,11,45.58,1,0
U1131,Brazil,35,475,6,0.59,0,78.69,9,1
U1132,Germany,52,558,24,0.54,13,145.25,7,1
U1133,Brazil,47,174,19,0.92,14,126.51,7,1
U1134,India,41,293,10,0.49,11,49.85,7,0
U1135,India,59,599,24,0.11,5,60.87,2,0
U1136,Germany,47,70,8,0.55,11,75.03,2,0
U1137,China,31,265,21,0.81,11,147.05,6,1
U1138,China,23,306,24,0.95,12,34.13,7,1
U1139,Brazil,20,186,6,0.44,8,60.05,3,0
U1140,US,33,206,21,0.34,11,112.12,4,0
U1141,Brazil,24,177,7,0.87,2,144.95,3,1
U1142,Germany,31,441,24,0.22,13,31.79,7,0
U1143,Germany,26,471,1,0.6,6,41.83,7,1
U1144,Germany,32,422,18,0.42,12,41.6,4,1
U1145,Germany,38,568,24,0.09,5,12.93,7,0
U1146,Germany,52,196,20,0.36,7,94.58,5,1
U1147,India,19,234,12,0.29,2,103.9,1,0
U1148,China,44,348,16,0.67,2,94.35,4,0
U1149,Germany,19,540,10,0.9,3,19.99,7,1
U1150,US,52,78,10,0.29,2,19.69,2,1
U1151,US,35,254,14,0.78,8,39.45,2,0
U1152,US,31,389,20,0.1,10,50.64,1,0
U1153,US,37,234,10,0.53,3,120.12,2,0
U1154,India,35,508,10,0.11,5,32.31,8,0
U1155,US,27,413,11,0.89,7,16.17,8,0
U1156,Germany,42,558,23,0.74,10,65.16,8,0
U1157,Brazil,19,200,2,0.64,12,68.29,1,0
U1158,US,42,152,20,0.79,7,73.13,1,0
U1159,India,50,298,8,0.63,14,125.77,4,0
U1160,India,53,264,23,0.92,4,23.72,6,1
U1161,US,48,492,7,0.69,4,108.55,8,1
U1162,Brazil,31,304,8,0.88,5,57.31,2,0
U1163,US,18,376,1,0.52,9,53.4,3,0
U1164,India,33,354,21,0.16,6,140.56,6,0
U1165,China,20,341,2,0.53,12,44.79,4,0
U1166,Germany,52,76,18,0.16,12,99.95,2,0
U1167,India,58,130,15,0.58,9,48.52,7,1
U1168,US,23,328,1,0.48,13,81.0,4,1
U1169,Germany,42,384,5,0.61,6,120.08,8,1
U1170,US,30,364,2,0.06,12,133.44,8,0
U1171,US,51,510,20,0.23,3,127.42,7,1
U1172,China,25,66,3,0.49,5,91.51,9,1
U1173,Germany,38,373,19,0.91,6,44.83,4,0
U1174,Germany,51,162,18,0.4,4,102.57,7,0
U1175,China,21,252,22,0.43,4,109.39,1,0
U1176,India,42,588,18,0.69,1,11.5,4,0
U1177,US,32,230,14,0.59,6,71.49,2,1
U1178,Brazil,21,596,24,0.32,11,128.06,9,1
U1179,US,29,310,8,0.42,5,78.54,5,0
U1180,US,49,446,12,0.25,10,53.59,3,0
U1181,India,49,266,21,0.92,0,132.05,4,0
U1182,US,45,475,10,0.17,3,31.82,6,1
U1183,China,30,439,23,0.38,2,38.9,1,0
U1184,China,48,203,20,0.07,11,106.23,7,1
U1185,Germany,31,84,17,0.25,14,59.34,8,0
U1186,Brazil,37,132,11,0.75,2,109.82,7,0
U1187,US,35,152,2,0.23,6,32.08,7,0
U1188,US,46,564,4,0.12,10,45.32,9,1
U1189,India,23,395,1,0.48,11,31.93,4,0
U1190,China,49,484,15,0.06,9,143.41,7,0
